,Person,Action,Object
bc,,,
bd,,,
bf,,,
bg,,,
bj,,,
bk,,,
bl,,,
bm,,,
bn,,,
bp,,,
bq,,,
br,,,
bs,,,
bt,big tom,,
bv,,,
bw,,,
bx,,,
bz,,,
cb,,,
cd,,,
cf,,,
cg,,,
cj,,,
ck,,,
cl,,,
cm,,,
cn,,,
cp,,,
cq,,,
cr,,,
cs,,,
ct,,,
cv,,,
cw,,,
cx,,,
cz,,,
db,,,
dc,,,
df,,,
dg,,,
dj,,,
dk,,,
dl,,,
dm,,,dime
dn,,,
dp,,,
dq,,,
dr,,,
ds,,,
dt,,,
dv,,,
dw,,,
dx,,,
dz,,,
fb,,,
fc,,,
fd,,,
fg,,,
fj,,,
fk,,,
fl,,,
fm,,,
fn,,,
fp,,,
fq,,,
fr,,,
fs,,,
ft,,,
fv,,,
fw,,,
fx,,,
fz,,,
gb,,,
gc,,,
gd,,,
gf,,,
gj,,,
gk,,,
gl,,,
gm,,,
gn,,,
gp,,,
gq,,,
gr,gajeel redfox,,
gs,,,
gt,,,
gv,,,
gw,,,
gx,,,
gz,,,
jb,,,
jc,,,
jd,,,
jf,,,
jg,,,
jk,,,
jl,,,
jm,,,
jn,,,
jp,,,
jq,,,
jr,,,
js,,,
jt,,,
jv,,,
jw,,,
jx,,,
jz,,,
kb,,,
kc,,,
kd,,,
kf,,,
kg,,,
kj,,,
kl,,,
km,,,
kn,,,
kp,,,
kq,,,
kr,,,
ks,,,
kt,,,
kv,,,
kw,,,
kx,,,
kz,,,
lb,,,
lc,,,
ld,,,
lf,,,
lg,,,
lj,,,
lk,,,
lm,,,
ln,,,
lp,,,
lq,,,
lr,,,
ls,,,
lt,,,
lv,,,
lw,,,
lx,,,
lz,,,
mb,,,
mc,,,
md,,,
mf,,,
mg,,,
mj,,,
mk,,,
ml,,,
mn,,,
mp,,,
mq,,,
mr,,,
ms,marge simpson,,
mt,,,
mv,,,
mw,,,
mx,,,
mz,,,
nb,,,
nc,,,
nd,,,
nf,,,
ng,,,
nj,,,
nk,,,
nl,,,
nm,,,
np,,,
nq,,,
nr,,,
ns,,,
nt,,hunt,
nv,,,
nw,,,
nx,,,
nz,,,
pb,,,
pc,,,
pd,,,
pf,,,
pg,,,
pj,,,
pk,,,
pl,,peal,
pm,,,
pn,,,
pq,,,
pr,,,
ps,,,
pt,,,
pv,,,
pw,,,
px,,,
pz,,,
qb,,,
qc,,,
qd,,,
qf,,,
qg,,,
qj,,,
qk,,,
ql,,,
qm,,,
qn,,,
qp,,,
qr,,,
qs,,,
qt,,,
qv,,,
qw,,,
qx,,,
qz,,,
rb,,,
rc,,,
rd,,,
rf,,,
rg,,,
rj,,,
rk,,,
rl,,,
rm,,ram,
rn,,,
rp,,,
rq,,,
rs,,,
rt,,,
rv,,,
rw,,,
rx,,,
rz,,,
sb,,,
sc,sean connery,,
sd,,,
sf,,,
sg,,,
sj,,,
sk,,,
sl,,,
sm,,,
sn,,,
sp,,,
sq,,,
sr,,,
st,,,
sv,,,
sw,,,
sx,,,
sz,,,
tb,,,
tc,,,
td,,,
tf,,,
tg,,,
tj,,,
tk,,,
tl,,,
tm,,,
tn,,,
tp,,,
tq,,,
tr,,"teeter,totter",
ts,,,
tv,,,
tw,,,
tx,,,
tz,,,
vb,,,
vc,,,
vd,,,
vf,,,
vg,,,
vj,,,
vk,,,
vl,,,
vm,,,
vn,,,
vp,,,
vq,,,
vr,,,
vs,,,
vt,,,
vw,,,
vx,,,
vz,,,
wb,,,
wc,,,
wd,,,
wf,,,
wg,,,
wj,,,
wk,,,
wl,,,
wm,,,
wn,,,
wp,,,
wq,,,
wr,,,
ws,,,
wt,,,
wv,,,
wx,,,
wz,,,
xb,,,
xc,,,
xd,,,
xf,,,
xg,,,
xj,,,
xk,,,
xl,,,
xm,,,
xn,,,
xp,,,
xq,,,
xr,,,
xs,,,
xt,,,
xv,,,
xw,,,
xz,,,
zb,,,
zc,,,
zd,,,
zf,,,
zg,,,
zj,,,
zk,,,
zl,,,
zm,,,
zn,,,
zp,,,
zq,,,
zr,,,
zs,,,
zt,,,
zv,,,
zw,,,
zx,,,
b,,,
c,,,
d,,,
f,,,
g,,,
j,,,
k,,,
l,,,
m,,,
n,,,
p,,,
q,,,
r,,,
s,,,
t,,,
v,,,
w,,,
x,,,
z,,,
